iter	Passed	Remaining
0	0	752
1	1	674
2	1	642
3	2	628
4	3	617
5	3	607
6	4	605
7	4	600
8	5	597
9	6	598
10	6	595
11	7	593
12	7	590
13	8	590
14	8	589
15	9	585
16	10	583
17	10	582
18	11	580
19	11	578
20	12	576
21	12	575
22	13	575
23	14	574
24	14	575
25	15	574
26	15	573
27	16	571
28	17	571
29	17	570
30	18	569
31	18	567
32	19	569
33	20	568
34	20	567
35	21	566
36	21	565
37	22	565
38	22	564
39	23	563
40	24	563
41	24	562
42	25	561
43	25	561
44	26	560
45	26	559
46	27	559
47	28	558
48	28	560
49	29	561
50	30	561
51	30	561
52	31	561
53	31	560
54	32	559
55	33	558
56	33	557
57	34	557
58	34	556
59	35	555
60	36	554
61	36	554
62	37	553
63	37	552
64	38	551
65	38	550
66	39	550
67	40	549
68	40	548
69	41	548
70	41	547
71	42	546
72	42	545
73	43	545
74	44	544
75	44	544
76	45	543
77	45	543
78	46	542
79	47	542
80	47	541
81	48	540
82	48	536
83	49	536
84	49	535
85	50	534
86	50	533
87	51	533
88	52	532
89	52	532
90	53	531
91	53	531
92	54	530
93	54	529
94	55	528
95	55	526
96	56	525
97	57	524
98	57	524
99	58	524
100	58	523
101	59	523
102	60	522
103	60	521
104	61	520
105	61	519
106	62	518
107	62	517
108	63	515
109	63	514
110	64	513
111	64	512
112	65	510
113	65	509
114	66	508
115	66	507
116	66	505
117	67	504
118	68	503
119	68	502
120	68	501
121	69	499
122	69	498
123	70	497
124	70	496
125	71	494
126	71	493
127	72	492
128	72	492
129	73	492
130	74	491
131	74	490
132	75	489
133	75	488
134	76	488
135	76	486
136	77	486
137	77	485
138	78	484
139	78	483
140	79	482
141	79	480
142	80	479
143	80	478
144	81	478
145	81	477
146	82	476
147	82	475
148	83	474
149	83	473
150	84	472
151	84	471
152	85	470
153	85	469
154	86	468
155	86	467
156	87	468
157	87	467
158	88	467
159	88	466
160	89	465
161	89	464
162	90	464
163	90	463
164	91	462
165	92	462
166	92	461
167	93	460
168	93	459
169	94	459
170	94	458
171	95	457
172	95	456
173	96	455
174	96	454
175	96	453
176	97	453
177	97	452
178	98	451
179	98	450
180	99	450
181	99	449
182	100	448
183	100	447
184	101	446
185	101	445
186	102	447
187	103	447
188	104	447
189	104	446
190	105	445
191	105	445
192	106	444
193	106	443
194	107	442
195	107	441
196	108	441
197	108	440
198	109	439
199	109	438
200	110	437
201	110	437
202	111	436
203	111	435
204	112	434
205	112	433
206	113	433
207	113	432
208	114	431
209	114	430
210	115	430
211	115	429
212	116	428
213	116	428
214	117	427
215	118	428
216	118	428
217	119	427
218	119	427
219	120	426
220	120	426
221	121	425
222	121	424
223	122	424
224	122	423
225	123	422
226	123	421
227	124	421
228	124	420
229	125	419
230	125	419
231	126	418
232	126	417
233	127	416
234	127	416
235	128	415
236	128	414
237	129	414
238	129	413
239	130	412
240	130	411
241	131	411
242	131	410
243	132	410
244	133	409
245	133	409
246	134	408
247	134	407
248	135	407
249	135	406
250	136	405
251	136	405
252	136	404
253	137	403
254	137	402
255	138	402
256	138	401
257	139	400
258	139	400
259	140	399
260	140	398
261	141	398
262	141	397
263	142	396
264	142	396
265	143	395
266	143	394
267	144	393
268	144	393
269	145	392
270	145	391
271	146	391
272	146	390
273	147	390
274	147	389
275	148	388
276	148	388
277	149	387
278	149	387
279	150	386
280	150	385
281	151	385
282	151	384
283	152	383
284	152	383
285	153	382
286	153	381
287	154	381
288	154	380
289	155	379
290	155	379
291	156	378
292	156	378
293	157	377
294	157	376
295	158	376
296	158	375
297	159	374
298	159	374
299	160	373
300	160	372
301	161	372
302	161	371
303	162	371
304	162	370
305	163	370
306	163	369
307	164	369
308	164	368
309	165	368
310	165	367
311	166	366
312	166	366
313	167	365
314	168	365
315	168	364
316	169	364
317	169	363
318	170	363
319	170	362
320	171	361
321	171	361
322	171	360
323	172	359
324	173	359
325	173	358
326	174	358
327	174	357
328	175	357
329	175	356
330	175	355
331	176	355
332	177	354
333	177	354
334	178	353
335	178	352
336	179	352
337	180	353
338	180	352
339	181	352
340	181	351
341	182	350
342	182	350
343	183	349
344	183	349
345	184	348
346	184	347
347	185	347
348	185	346
349	186	346
350	186	345
351	187	344
352	187	344
353	188	343
354	188	342
355	189	342
356	189	341
357	190	341
358	190	340
359	191	339
360	191	339
361	192	339
362	192	338
363	193	338
364	194	337
365	194	337
366	195	336
367	195	335
368	196	335
369	196	334
370	197	334
371	197	333
372	198	333
373	198	332
374	199	331
375	199	331
376	200	330
377	200	329
378	201	329
379	201	328
380	202	328
381	202	327
382	202	327
383	203	326
384	203	325
385	204	325
386	204	324
387	205	324
388	206	323
389	206	323
390	207	322
391	207	322
392	208	321
393	208	320
394	209	320
395	209	319
396	210	319
397	210	318
398	211	317
399	211	317
400	212	316
401	212	316
402	213	315
403	213	314
404	214	314
405	214	313
406	214	313
407	215	312
408	215	311
409	216	311
410	216	310
411	217	310
412	217	309
413	218	309
414	218	308
415	219	307
416	219	307
417	220	306
418	220	306
419	221	305
420	221	305
421	222	304
422	222	304
423	223	303
424	223	302
425	224	302
426	224	301
427	225	301
428	225	300
429	226	300
430	226	299
431	227	298
432	227	298
433	228	297
434	228	297
435	229	296
436	229	295
437	230	295
438	230	294
439	231	294
440	231	293
441	232	293
442	232	292
443	233	291
444	233	291
445	234	290
446	234	290
447	235	289
448	235	289
449	236	288
450	236	288
451	237	287
452	237	287
453	238	286
454	238	285
455	239	285
456	239	284
457	240	284
458	240	283
459	241	283
460	241	282
461	242	281
462	242	281
463	243	280
464	243	280
465	244	279
466	244	279
467	245	278
468	245	277
469	246	277
470	246	276
471	246	276
472	247	275
473	247	275
474	248	274
475	248	273
476	249	273
477	249	272
478	250	272
479	250	271
480	251	271
481	252	270
482	252	270
483	253	269
484	253	269
485	254	268
486	254	268
487	255	267
488	255	267
489	256	266
490	256	265
491	257	265
492	257	264
493	257	264
494	258	263
495	258	263
496	259	262
497	259	261
498	260	261
499	260	260
500	261	260
501	261	259
502	262	259
503	262	258
504	263	258
505	263	257
506	264	257
507	265	256
508	265	256
509	266	255
510	266	255
511	267	254
512	267	254
513	268	253
514	268	253
515	269	252
516	270	252
517	270	251
518	271	251
519	271	250
520	272	250
521	272	249
522	273	249
523	273	248
524	274	247
525	274	247
526	275	246
527	275	246
528	276	245
529	276	245
530	277	244
531	277	244
532	278	243
533	278	243
534	279	242
535	279	241
536	280	241
537	281	241
538	281	240
539	282	240
540	282	239
541	283	239
542	283	238
543	284	238
544	284	237
545	285	237
546	285	236
547	286	236
548	286	235
549	287	235
550	287	234
551	288	234
552	288	233
553	289	232
554	289	232
555	290	231
556	290	231
557	291	230
558	291	230
559	292	229
560	292	229
561	293	228
562	293	228
563	294	227
564	295	227
565	295	226
566	296	226
567	296	225
568	297	225
569	298	224
570	298	224
571	299	223
572	299	223
573	300	222
574	300	222
575	301	221
576	301	221
577	302	220
578	302	220
579	303	219
580	303	219
581	304	218
582	304	218
583	305	217
584	305	216
585	306	216
586	306	215
587	307	215
588	307	214
589	308	214
590	308	213
591	309	213
592	309	212
593	310	212
594	310	211
595	311	211
596	312	210
597	312	210
598	313	209
599	313	209
600	314	208
601	314	207
602	315	207
603	315	206
604	316	206
605	316	205
606	317	205
607	317	204
608	318	204
609	318	203
610	319	203
611	319	202
612	320	202
613	320	201
614	321	201
615	321	200
616	322	199
617	322	199
618	323	198
619	323	198
620	324	197
621	324	197
622	325	196
623	325	196
624	326	195
625	326	195
626	327	194
627	327	194
628	328	193
629	328	193
630	329	192
631	329	192
632	330	191
633	330	190
634	331	190
635	331	189
636	332	189
637	332	188
638	333	188
639	333	187
640	334	187
641	334	186
642	335	186
643	335	185
644	336	185
645	336	184
646	337	184
647	337	183
648	338	182
649	338	182
650	339	181
651	339	181
652	340	180
653	341	180
654	341	179
655	342	179
656	342	178
657	343	178
658	343	177
659	344	177
660	344	176
661	345	176
662	345	175
663	346	175
664	346	174
665	347	174
666	347	173
667	348	172
668	348	172
669	349	171
670	349	171
671	350	170
672	350	170
673	351	169
674	351	169
675	352	168
676	352	168
677	353	167
678	353	167
679	354	166
680	354	166
681	355	165
682	356	165
683	356	164
684	357	164
685	357	163
686	358	163
687	358	162
688	359	162
689	359	161
690	360	161
691	360	160
692	361	159
693	361	159
694	362	158
695	362	158
696	363	157
697	363	157
698	364	156
699	364	156
700	365	155
701	365	155
702	366	154
703	366	154
704	367	153
705	367	153
706	368	152
707	368	152
708	369	151
709	369	150
710	370	150
711	370	149
712	371	149
713	371	148
714	372	148
715	373	148
716	373	147
717	374	147
718	374	146
719	375	146
720	375	145
721	376	144
722	377	144
723	377	143
724	377	143
725	378	142
726	379	142
727	379	141
728	380	141
729	380	140
730	381	140
731	381	139
732	382	139
733	382	138
734	382	138
735	383	137
736	384	137
737	384	136
738	385	136
739	385	135
740	386	135
741	386	134
742	387	133
743	387	133
744	388	132
745	388	132
746	389	131
747	389	131
748	390	130
749	390	130
750	391	129
751	391	129
752	392	128
753	392	128
754	393	127
755	393	127
756	394	126
757	394	126
758	395	125
759	395	124
760	396	124
761	396	123
762	397	123
763	397	122
764	398	122
765	398	121
766	399	121
767	399	120
768	400	120
769	400	119
770	401	119
771	401	118
772	402	118
773	402	117
774	403	117
775	403	116
776	404	116
777	405	115
778	405	115
779	406	114
780	406	114
781	407	113
782	407	112
783	408	112
784	408	111
